Question,Options,Correct_Letter,Correct_Answer
Глюкоза қандай көмірсуға жатады?,A) Моносахарид | B) Дисахарид | C) Полисахарид | D) Триглицерид | Е) дұрыс жауап жоқ,A,Моносахарид
Көмірсулар қай элементтерден тұрады?,"A) C, H, O | B) C, N, O | C) C, H, N | D) H, O, S | Е) дұрыс жауап жоқ",A,"C, H, O"
Сахароза — бұл:,A) Моносахарид | B) Дисахарид | C) Полисахарид | D) Көміртек тотығы | Е) дұрыс жауап жоқ,В,Дисахарид
Адам ағзасында көмірсулар қандай формада қор сақтайды?,A) Глюкоза | B) Целлюлоза | C) Гликоген | D) Лактоза | Е) дұрыс жауап жоқ,C,Гликоген
Крахмал — бұл:,A) Моносахарид | B) Полисахарид | C) Дисахарид | D) Олигосахарид | Е) дұрыс жауап жоқ,В,Полисахарид
Моносахаридтерге жатпайды:,A) Глюкоза | B) Фруктоза | C) Лактоза | D) Рибоза | Е) дұрыс жауап жоқ,C,Лактоза
Клетчатканың негізгі компоненті:,A) Крахмал | B) Целлюлоза | C) Гликоген | D) Фруктоза | Е) дұрыс жауап жоқ,В,Целлюлоза
Қанттың артық мөлшері ағзада неге айналады?,A) Ақуызға | B) Майға | C) Витаминге | D) Суға | Е) дұрыс жауап жоқ,В,Майға
Лактоза қандай өнімде кездеседі?,A) Бал | B) Жеміс | C) Сүт | D) Ет | Е) дұрыс жауап жоқ,C,Сүт
Фруктоза қандай тағамда жиі кездеседі?,A) Сүт | B) Бидай | C) Жемістер | D) Ет өнімдері | Е) дұрыс жауап жоқ,С,Жемістер
Төменде көрсетілген қай көмірсу тәтті дәмі жоқ?,A) Глюкоза | B) Сахароза | C) Целлюлоза | D) Фруктоза | Е) дұрыс жауап жоқ,C,Целлюлоза
Инсулин қандай зат алмасуға қатысады?,A) Ақуыз | B) Көмірсулар | C) Майлар | D) Витаминдер | Е) дұрыс жауап жоқ,В,Көмірсулар
Көмірсулардың калориялық құндылығы (1 грамм):,A) 9 ккал | B) 7 ккал | C) 4 ккал | D) 2 ккал | Е) дұрыс жауап жоқ,C,4 ккал
Диабет ауруында қанда көбейетін зат:,A) Аминқышқыл | B) Липид | C) Глюкоза | D) Темір | Е) дұрыс жауап жоқ,C,Глюкоза
Майлар қандай заттардан түзіледі?,A) Глюкоза мен аминқышқылдар | B) Май қышқылдары мен глицерин | C) Суда еритін витаминдер | D) Полисахаридтер мен спирт | Е) дұрыс жауап жоқ,В,Май қышқылдары мен глицерин
Майлар ағзада қандай қызмет атқарады?,A) Негізгі фермент көзі | B) Құрылым түзу | C) Энергия қоры және жылу сақтау | D) Клетканы жаңарту | Е) дұрыс жауап жоқ,C,Энергия қоры және жылу сақтау
Майлардың калориялық құндылығы (1 грамм):,A) 4 ккал | B) 7 ккал | C) 9 ккал | D) 2 ккал | Е) дұрыс жауап жоқ,C,9 ккал
Қанықпаған май қышқылдары көбіне қайда кездеседі?,A) Сары май | B) Өсімдік майларында | C) Сүтте | D) Етте | Е) дұрыс жауап жоқ,В,Өсімдік майларында
Майлардың суда ерігіштігі қандай?,A) Жақсы ериді | B) Тек ыстық суда ериді | C) Суда ерімейді | D) Сілтіде ериді | Е) дұрыс жауап жоқ,C,Суда ерімейді
Қаныққан май қышқылдарына мысал:,A) Линол қышқылы | B) Олеин қышқылы | C) Стеарин қышқылы | D) Линолен қышқылы | Е) дұрыс жауап жоқ,C,Стеарин қышқылы
Маргарин — бұл:,A) Табиғи сүт майы | B) Сұйық май | C) Гидрогенизацияланған өсімдік майы | D) Сүт пен су қоспасы | Е) дұрыс жауап жоқ,C,Гидрогенизацияланған өсімдік майы
Майлар қоры ретінде қайда жиналады?,A) Қанда | B) Бұлшық етте | C) Терінің астында | D) Асқазандa | Е) дұрыс жауап жоқ,C,Терінің астында
Майды көп мөлшерде тұтыну неге әкеледі?,A) Су жетіспеушілігіне | B) Анемияға | C) Артық салмақ пен атеросклерозға | D) Цинга ауруына | Е) дұрыс жауап жоқ,C,Артық салмақ пен атеросклерозға
Өсімдік майларының құрамында қандай витамин көп?,A) C | B) D | C) B1 | D) E | Е) дұрыс жауап жоқ,D,E
Суда еритін витамин:,A) A | B) D | C) C | D) E | Е) дұрыс жауап жоқ,C,C
Майда еритін витаминдерді көрсет:,"A) B, C | B) A, D, E, K | C) A, B, C | D) C, D, F | Е) дұрыс жауап жоқ",В,"A, D, E, K"
Витамин D жетіспесе қандай ауру туындайды?,A) Цинга | B) Рахит | C) Берибери | D) Қант диабеті | Е) дұрыс жауап жоқ,В,Рахит
Витамин С жетіспеушілігі қандай ауруға әкеледі?,A) Анемия | B) Рахит | C) Цинга | D) Квашиоркор | Е) дұрыс жауап жоқ,C,Цинга
B1 витамині қандай процестерге қатысады?,A) Көру | B) Қан ұю | C) Көмірсу алмасу | D) Тері түзілуі | Е) дұрыс жауап жоқ,C,Көмірсу алмасу
Витамин A жетіспеушілігінің салдары:,A) Түнгі соқырлық | B) Тістердің сынуы | C) Қан ұю бұзылысы | D) Асқазан жарасы | Е) дұрыс жауап жоқ,A,Түнгі соқырлық
Витаминдер — бұл:,A) Энергия көзі | B) Құрылымдық макроэлемент | C) Ағзаның тіршілігіне қажет органикалық заттар | D) Минерал тұздар | Е) дұрыс жауап жоқ,C,Ағзаның тіршілігіне қажет органикалық заттар
Витамин Е-нің негізгі қызметі:,A) Қан қысымын реттеу | B) Антиоксидант | C) Асқорытуды жақсарту | D) Глюкоза ыдырату | Е) дұрыс жауап жоқ,В,Антиоксидант
Қай тағамда витамин С көп?,A) Сүт | B) Ет | C) Лимон | D) Май | Е) дұрыс жауап жоқ,C,Лимон
Поливитаминдер дегеніміз:,A) Бір ғана витамин түрі | B) Бірнеше витаминнің қоспасы | C) Минералды қосылыстар | D) Гормондар | Е) дұрыс жауап жоқ,В,Бірнеше витаминнің қоспасы
Ферменттер дегеніміз не?,A) Энергия көзі | B) Биокатализаторлар | C) Ақуыздардың түрі | D) Май қышқылдары | Е) дұрыс жауап жоқ,В,Биокатализаторлар
Ферменттер химиялық реакцияны қалай әсер етеді?,A) Жылдамдатады | B) Баяулатады | C) Басқармайды | D) Тоқтатады | Е) дұрыс жауап жоқ,A,Жылдамдатады
Ферменттердің қызмет етуіне әсер ететін фактор:,A) Температура | B) Су мөлшері емес | C) Тек жарық | D) Қысым емес | Е) дұрыс жауап жоқ,A,Температура
Амилаза ферментінің қызметі:,A) Ақуыздарды бөлу | B) Майларды ыдырату | C) Көмірсуларды ыдырату | D) Витамин синтезі | Е) дұрыс жауап жоқ,C,Көмірсуларды ыдырату
Ферменттер қайда синтезделеді?,A) Асқазанда және ұйқы безінде | B) Қанда | C) Бұлшық етте | D) Теріде | Е) дұрыс жауап жоқ,A,Асқазанда және ұйқы безінде
Ферменттердің құрылымы негізінен:,A) Майлар | B) Ақуыздар | C) Көмірсулар | D) Минералдар | Е) дұрыс жауап жоқ,В,Ақуыздар
Катализаторлық белсенділік дегеніміз:,A) Ферменттің химиялық өзгеруі | B) Ферменттің реакцияны жылдамдатуы | C) Ферменттің бұзылуы | D) Ферменттің тұрақтылығы | Е) дұрыс жауап жоқ,В,Ферменттің реакцияны жылдамдатуы
Ферменттердің атауы қалай қойылады?,A) Әрдайым “аза” жалғауымен аяқталады | B) “Молекула” сөзімен басталады | C) “Витамин” сөзімен аяқталады | D) Әрқашан “ада” жалғауымен | Е) дұрыс жауап жоқ,A,Әрдайым “аза” жалғауымен аяқталады
Пепсин ферменті қандай затты ыдыратады?,A) Майлар | B) Ақуыздар | C) Көмірсулар | D) Нуклеин қышқылдары | Е) дұрыс жауап жоқ,В,Ақуыздар
Ферменттердің тиімділігі төмендеген кезде не болады?,A) Реакция тоқтайды | B) Реакция баяу жүреді | C) Фермент көбейеді | D) Энергия жоғалады | Е) дұрыс жауап жоқ,В,Реакция баяу жүреді
Адам ағзасының құрамында судың үлесі шамамен қанша?,A) 10-20% | B) 30-40% | C) 60-70% | D) 90-100% | Е) дұрыс жауап жоқ,C,60-70%
Судың негізгі қызметі:,A) Энергия көзі | B) Денені жылыту | C) Ерігіш орта және тасымалдаушы | D) Ақуыз синтезі | Е) дұрыс жауап жоқ,C,Ерігіш орта және тасымалдаушы
Су молекуласының химиялық формуласы:,A) H2O | B) CO2 | C) O2 | D) H2SO4 | Е) дұрыс жауап жоқ,A,H2O
Су қай заттардың алмасуына қатысады?,"A) Ақуыздар, көмірсулар және майлар | B) Тек майлар | C) Тек көмірсулар | D) Витаминдер | Е) дұрыс жауап жоқ",A,"Ақуыздар, көмірсулар және майлар"
Дене сұйықтықтары құрамында су неше пайызға дейін болады?,A) 10-20% | B) 50-70% | C) 80-90% | D) 100% | Е) дұрыс жауап жоқ,В,50-70%
Су жетіспеушілігі неге әкеледі?,A) Сусыздану | B) Артық салмақ | C) Қан қысымының төмендеуі | D) Витамин тапшылығы | Е) дұрыс жауап жоқ,A,Сусыздану
Судың тұздылығы нені білдіреді?,A) Судағы тұздардың мөлшері | B) Судың түсі | C) Су температурасын | D) Су мөлшерін | Е) дұрыс жауап жоқ,A,Судағы тұздардың мөлшері
Тазартылмаған суда не болуы мүмкін?,A) Витаминдер | B) Микроорганизмдер және ластағыштар | C) Майлар | D) Ақуыздар | Е) дұрыс жауап жоқ,В,Микроорганизмдер және ластағыштар
Су қайдан алынады?,A) Тек өзендер мен көлдерден | B) Тек мұхиттардан | C) Тек атмосферадан | D) Тек жердің асты сулары | Е) дұрыс жауап жоқ,A,Тек өзендер мен көлдерден
Су мен энергия арасындағы байланыс:,A) Су энергия көзі | B) Су энергияның тасымалдаушысы | C) Су энергияны жояды | D) Су энергияға айналмайды | Е) дұрыс жауап жоқ,В,Су энергияның тасымалдаушысы
Макроэлементтерге жатады:,"A) Темір, мырыш | B) Кальций, натрий, калий | C) Молибден, йод | D) Фтор, марганец | Е) дұрыс жауап жоқ",В,"Кальций, натрий, калий"
Микроэлементтердің ағзадағы қызметі:,A) Энергия көзі | B) Ферменттердің құрамына кіру және физиологиялық қызмет | C) Су тасымалдау | D) Көмірсуларды ыдырату | Е) дұрыс жауап жоқ,В,Ферменттердің құрамына кіру және физиологиялық қызмет
Темірдің ағзадағы негізгі қызметі:,A) Қан құрамында оттегін тасымалдау | B) Энергия көзі | C) Су көзі | D) Майларды ыдырату | Е) дұрыс жауап жоқ,A,Қан құрамында оттегін тасымалдау
Кальций жетіспесе не болады?,A) Бұлшық ет әлсіздігі және сүйек сынғыштығы | B) Терінің құрғауы | C) Иммунитеттің төмендеуі | D) Қанның ұюы | Е) дұрыс жауап жоқ,A,Бұлшық ет әлсіздігі және сүйек сынғыштығы
Қай микроэлементтің жетіспеушілігі терінің зақымдануына әкеледі?,A) Мырыш | B) Кальций | C) Фосфор | D) Магний | Е) дұрыс жауап жоқ,A,Мырыш
Йод ағзада қандай қызмет атқарады?,A) Қан құру | B) Қалқанша безінің гормондарының синтезі | C) Қан қысымын реттеу | D) Қан құрамында оттегін тасымалдау | Е) дұрыс жауап жоқ,В,Қалқанша безінің гормондарының синтезі
Фосфордың ағзадағы қызметі:,A) Бұлшық ет құрылымы | B) Энергетикалық алмасуда маңызды | C) Витаминдердің тасымалдануы | D) Су балансы | Е) дұрыс жауап жоқ,В,Энергетикалық алмасуда маңызды
Калийдің жетіспеушілігі:,A) Бұлшық еттің әлсіздігі | B) Терінің құрғауы | C) Қанның ұюы | D) Асқазан жарасы | Е) дұрыс жауап жоқ,A,Бұлшық еттің әлсіздігі
Макроэлементтер ағзада қанша пайызды құрайды?,"A) 0,01-0,1% | B) 1-5% | C) 10-15% | D) 50-60% | Е) дұрыс жауап жоқ",В,1-5%
Микроэлементтерге мысал:,"A) Кальций, натрий | B) Темір, мырыш, йод | C) Көмірсулар, майлар | D) Витаминдер | Е) дұрыс жауап жоқ",В,"Темір, мырыш, йод"
Көмірсу алмасуының бұзылуы нәтижесінда қандай ауру туады?,A) Қант диабеті | B) Базед ауруы | C) Ксерофтальмия | D) Остеомаляция | E) Ацетонурия,A,Қант диабеті
